id,label,review
162,accueil / politesse,personnel accueillant et courtois
1517,accueil / politesse,le personnel est très professionnel et sympathique et l'attente raisonnable .merci!!!!!
1605,accueil / politesse,"accueil détestable. quand mon tour arrive, le conseiller m´ignore un moment avant de venir vers moi sans bonjour ni politesse. je lui explique rapidement ma situation (assez urgente, je pars à l´étranger et le service client me dit de poser mon matériel en boutique), il me dit qu´il ne peut rien faire, n´écoute meme pas mon cas et bascule carrément dans l´impolitesse en me disant que j´aurais du me renseigner mieux avant de venir et que je n´ai rien compris a ce qu´on m´a dit. ce comportement méprisant d´ailleurs en partie du au fait que je suis une jf de 25 ans.  tout simplement désagréable et humiliant. franchement une honte. j´ai appelé le service client pour le signaler, et ai pu poser mon matériel sans aucun problème au store de république.  bref je ne parle que pour cet agent, mais son contact client est plus que limite et zéro sens du service."
465,accueil / politesse,personnel très pro bravo
504,accueil / politesse,personnel peu aimable et sans doute pas très compétant ...
486,accueil / politesse,"personnel à l'accueil faisant réellement office d'accueil et de bienvenu... un vrai plaisir d'être accueilli de la sorte avec courtoisie et sourire. pas eu besoin de passer par la case conseiller donc impossible à juger, mais en tout cas il y avait de nombreux conseiller en train de renseigner des clients. ça change des boutiques où les îlots de conseils sont désespérément vides..."
1972,accueil / politesse,très bon accueil !
212,accueil / politesse,"beaucoup d’attente, le personnel pas forcément aimable, j’ai du tomber à la mauvaise période! la personne se reconnaîtra !"
272,accueil / politesse,accueil parfait. service rapide.
1672,accueil / politesse,"conseiller, odieux, inefficace et agressif. à éviter de toute urgence"
340,accueil / politesse,très bon accueil
2160,accueil / politesse,très sympathique
1859,accueil / politesse,"even though they don't speak english (which is too bad, but it's normal in france), this branch of orange has nice staff, very helpful people, who would explain everything one needs to the best of their ability, without giving up."
973,accueil / politesse,accueil en boutique horrible. les vendeurs sont désagréables et hautains. service déplorable on a l'impression qu'il faut demander pardon d'être là (dans la boutique) pour acheter ou demander un service. amabilité zéro! a éviter !!!
1237,accueil / politesse,excellent accueil et conseils de qualité très professionnel
2057,accueil / politesse,"accueil inexistant, vendeuse désagréable au possible et incompétente. aucunes solutions proposées pour répondre à mon problème. passez votre chemin c'est pathétique d'avoir une expérience client aussi pauvre en 2017 ..."
125,accueil / politesse,très bon accueil
414,accueil / politesse,très bons accueil et conseils
513,accueil / politesse,on nous dirige bien
1444,accueil / politesse,conseillers aimables et à l'écoute. moins d'attente qu'auparavant.
1911,accueil / politesse,très bon accueil
1676,accueil / politesse,"mais quelle expérience désastreuse ! je ne peux qu’aller dans le sens des commentaires précédents. quelle honte ! 45 mn d’attente pour acheter un chargeur ! aucun bonjour, des vendeurs désagréables, voir agressifs et ironiques, un service désorganisé, un manque de conseils, un mépris des clients clairement revendiqué...  une expérience désagréable pour la deuxième fois qui m’amène à m’interroger en tant que cliente orange sur mon souhait de rester cliente d’une telle enseigne !"
2118,accueil / politesse,"(traduit par google) service très lent et employés peu professionnels. nous sommes restés dans le magasin pendant 1 heure pour recharger un forfait mobile. évitez deruoeche, il nous a causé un grand retard. quand j'ai demandé des toilettes, ils m'ont répondu qu'il n'y en avait pas. terrible.....  (original) very slow service and unprofessional employees. we stayed in the store for 1 hour just to recharge a mobile package. avoid deruoeche he caused us a big delay. when i asked for a toilet, they said that no toilet was available. terrible....."
1223,accueil / politesse,"ce serait bien de noter sur le site les fermetures même exceptionnelles! après vaugirard avec un accueil pitoyable, je me présente rue du commerce ! fermeture! et bien je continue..."
128,accueil / politesse,"accueil lamentable, quand j’entre dans la boutique, on me dit « oui ??? », du genre c’est pourquoi ??? sans un sourire de bienvenue ou même un basique « bonjour madame ». la personne qui s’est occupée de recharger ma carte téléphonique, une dame ayant la cinquantaine avancée, particulièrement peu aimable, semblait agacée de mes questions (c’est la première fois que j’utilise une carte rechargeable) et sourcillait à chaque réponse qu’elle faisait l’effort de me donner. limite si elle ne roulait pas des yeux tellement j’avais l’air d’être une débile profonde à ses yeux, tout en se comportant comme la diva de son petit territoire. quand je lui ai dit que je voulais la recharge la moins chère, elle a même étouffé un rire, j’ai cru rêver. franchement, choisissez mieux votre personnel, surtout pour une boutique sur les champs élysées, qui devrait représenter la marque avec une attitude plus amicale que prétentieuse. expérience désagréable en tout point."
2621,accueil / politesse,employés payés à être désagréables et incompétents qui n'ont aucune envie d'aider leurs clients à résoudre leurs problèmes. forfait résilié.
1767,accueil / politesse,"incompétents. et désagréables en plus. et n'ayant pas la bonne foi de le reconnaître. un samedi après midi perdu grâce à cette petite agence sans aucun service. lui préférer nettement l'agence d'opéra où j'ai finalement pris les deux forfaits de mes deux filles. service impeccable, accompagné d'un sourire et d'un café. what else ...?"
1206,accueil / politesse,(traduit par google) les consultants ignorent ma visite à oranzh! dégoûtant.  (original) consultants ignore my visit to oranzh! disgustingly.
610,accueil / politesse,à éviter. personnel audieux et incompétent accueil catastrophe. énervement ne sert à rien car...
566,accueil / politesse,les gens très désagréable qui vous traitent comme vous êtes débile
864,accueil / politesse,accueil pas sympathique
167,accueil / politesse,accueil à revoir je n'ai pu juger de la compétence car niveau écoute
339,accueil / politesse,"la boutique orange la pire de paris. !!!le vendeur a point express  est tout le contraire de mots express. nous avons fait la queue depuis 15 mnts et entre temps il a reçu les gens qui n’ont pas fait la queue, quand on est arrivé a notre tour il a dit la boutique est fermé... cependant il a bien vu que nous avons attendu..et bien personne nous a informé que la boutique est fermée ( 18h15 l’heure d’arriver.) et il nous a tres mal parlé... en nous disant, que est-ce que vous faites la sans rien me dire? pourtant il a bien vu nous avons fait la queue... ce n’est pas pour prendre la pause!!!!!!  ni bonjour ni rien ...   est ce que ce monsieur est bien un image que la france voulait présenter, en le plaçant dans un endroit comme champs elysées ? je suis vraiment triste pour ce service inadmissible..."
393,accueil / politesse,personnel mal élevé et raciste envers les asiatiques. ils pensent que les asiatiques sont incapables de comprendre les insultes qu'ils disent en français. erreur !
746,accueil / politesse,accueil et efficacité.
1766,accueil / politesse,personnel performant.patient efficace. mais c est la pagaille à l accueil. .personne sait pas qui doit passer. on attend debout  notre tour. les clients sont nerveux..  il suffirait . d une hôtesse.ou donner des tickets numérotés c est très désagréable. de rester planté ds l entrée.
307,cadre / atmosphère,grande boutique orange avec beaucoup de choix les vendeurs sont qualifiés et ne forcent pas à la vente accessible aux personnes en fauteuil roulant
2416,cadre / atmosphère,très agréable boutique orange opéra  dommage  qu'il y en a qu'une  pour toute la france
1151,cadre / atmosphère,boutique tres petite comparativement à rue de rennes
1344,cadre / atmosphère,lieu magique et lorsque l on connait l histoire de cette famille c est émouvant
2044,cadre / atmosphère,boutique sympathique
1401,cadre / atmosphère,magasin propre accueillant
1636,cadre / atmosphère,"boutique à éviter absolument ! je me suis rendu à la boutique pour faire jouer la garentie de mon téléphone (iphone x) accessoires défectueux : la première fois le vendeur m’envoie chez apple (apple gère seul sa garentie), la deuxième au service client orange en ligne (qui me renvoie en boutique) et la 3ème me faire voir ! c’est lamentable"
2189,cadre / atmosphère,spatialisation réussie ainsi que l'accueil. le depannage pourtant assez délicat a été réglé rapidement
1491,cadre / atmosphère,"boutique orange assez grande, on nous demande notre nom à notre arrivée et on est appelé après quelques minutes d'attente (5 à 10 minutes dans mon cas ce qui est plutôt rapide). le conseiller jamal est vraiment très sympathique, souriant , il explique bien tout et répond clairement aux questions qu'on lui pose."
2090,cadre / atmosphère,"belle boutique orange. personnel compétent. tous les services orange au même endroit (adsl / fibre / portable, perso / pro)"
43,cadre / atmosphère,boutique ou se côtoient les clients du quartier et les touristes
720,cadre / atmosphère,bonne boutique
1992,cadre / atmosphère,boutique très agréable
2331,cadre / atmosphère,"très grande boutique à 3e étages en plein opéra, spécialisée dans l'aide et le conseils aux clients. des vrais pros qui nous écoutent vraiment ! je recommande davantage que la boutique orange de la défense ! le service est meilleur et il y a bien plus d'équipements et d'espace de confort pour attendre tout en se relaxant. rapide et efficace 👍👍👍"
1262,cadre / atmosphère,mal indiqué mal renseigné pour trouvé orang pas de pancartes
2462,cadre / atmosphère,très belle boutique  beaucoup de choix personnel à l écoute
38,cadre / atmosphère,(traduit par google) endroit incroyable et très bien situé  (original) lugar incrível e muito bem situado
2304,cadre / atmosphère,personnel compétant et magasin avec super design.
480,cadre / atmosphère,opérateur très cher mais excellent réseau. belle boutique
2596,cadre / atmosphère,"super magasin de téléphonie. attention aux montages des vitres blindés, ils refusent de les placer."
1985,cadre / atmosphère,boutique sympa
1979,cadre / atmosphère,magasin très propre bien agencé avec des conseillé au top
2223,cadre / atmosphère,"superbe spot orange sur plusieurs étages ! souvent du monde, mais accueil pro. et on essaie de faire au mieux pour vous ... orange a eu une excellente idée avec cette boutique (en plus, à côté de celle d’apple) ! 👍"
2420,cadre / atmosphère,boutique opéra service rapide est employé à la hauteur.
1701,cadre / atmosphère,grande boutique mais peu accessoires et les prix élevés
409,cadre / atmosphère,boutique très agréable. nouveau concept de boutique. personnel competent et agréable
1324,cadre / atmosphère,très accueillante
2285,cadre / atmosphère,très spacieuse
920,cadre / atmosphère,la boutique est toute orange
2352,cadre / atmosphère,commerciales très serviables et à l'écoute. très belle boutique en passant
206,cadre / atmosphère,"très belle boutique, accueil remarquable !"
283,cadre / atmosphère,cadre lumineux et convivial
2155,cadre / atmosphère,énorme flagship!
2126,cadre / atmosphère,mega boutique. j'ai bien aimé.
2083,cadre / atmosphère,tres jolie boutique !
1670,cadre / atmosphère,"une boutique classique avec tout la téléphonie mobile,  à 5mn de la gare."
515,cadre / atmosphère,espace exigu
2173,cadre / atmosphère,du choix dans les mobiles
1463,cadre / atmosphère,"vraiment une belle boutique orange, spacieuse et aérée avec une équipe très accueillante.  bravo"
1403,cadre / atmosphère,"belle boutique,du choix,salon d'attente pratique,le système de file d'attente est simple"
94,cadre / atmosphère,service rapide et agréable dans un superbe environnement
139,cadre / atmosphère,(traduit par google) belle boutique personnel serviable (original) nice store helpful staff
1992,cadre / atmosphère,boutique très agréable
1110,cadre / atmosphère,un smartstore où on se sent comme chez soi.
2600,cadre / atmosphère,"wifi à bord, du coup c'est cool"
1873,cadre / atmosphère,ce magasin est bien agencé beaucoup de choix le conseiller a très bien répondu à ma question  a été très gentil et professionnel
343,cadre / atmosphère,grande et jolie boutique avec vendeurs qui vous montrent bien qu'ils vous serviront quand l'envie viendra. cette boutique me fait penser à un magnifique gâteau au goût horrible. les petites boutiques plus simples ont des vendeurs plus compétents et mieux renseignés sur les offres et produits.
1582,cadre / atmosphère,super boutique et super équipe très sympa ! et la compétence est là !
2345,cadre / atmosphère,rien n'a voir  quand elle était à la madeleine
2470,cadre / atmosphère,"pas terrible : beaucoup de monde, pas assez de personnel, peu d'attention."
1112,cadre / atmosphère,moderne
1901,cadre / atmosphère,pas trop de monde contrairement à d'autres boutiques. vendeur sympa
2409,cadre / atmosphère,"tres belle boutique, equipe de vente souriante et aimable. accueil au top !  je suis venue lundi soir sans rendez-vous avec un peu d attente (20 mns) et ai ete prise en charge par andre, un vendeur aimable et tres bon conseiller. je recommande cette boutique !"
2229,cadre / atmosphère,"très grande boutique avec un large choix de smartphones, de montres connectées, d'accessoires... si vous souhaitez prendre en main un smartphone, je vous recommande cet endroit car vous êtes sur de trouver le modèle de votre choix. par contre, certains vendeurs n'y connaissent rien et ne savent pas répondre aux questions les plus simples. heureusement que d'autres vendeurs sont plus sérieux."
464,cadre / atmosphère,grand confort pour les sièges et bonne réception malheureusement espace insuffisant pour l'affluence de clients
703,cadre / atmosphère,trop d'attente le concept du salon n'est guère bien étudié la copie du concept est à revoir
295,cadre / atmosphère,"belle boutique confortable... au standing du quartier, mais surtout amabilité et compétence des conseillers (patrick), même si l'on doit attendre un peu pour être reçu. je recommande."
2192,cadre / atmosphère,j'y vais quand il y a les #kayanesession au 2ème étage. très bel endroit! 😍
2316,cadre / atmosphère,boutique très agréable.le personnel est très sympathique et très avenant avec les clients.
2170,cadre / atmosphère,"plein d'animations, la plus grande boutique orange"
2602,problème technique,boutique qui ne résout pas vraiment les problèmes rencontrés par cette société.
2386,problème technique,pendant trois semaines ligne ça marche pas...( internet maison. téléphone fixe. 4 numéro de téléphone portable) je pense que nous avons des raisons tout pour apporter une action à votre entreprise... votre entreprise dispose de tous les documents pour la procédure de connexion... la raison de l’absence de connexion que nous ne comprenons pas.... votre société porte atteinte à nos droits les droits des consommateurs...
2326,problème technique,"des vendeurs incompétents incapable de trouver une solution à mon problème à base de ""ben on ne peut rien faire"". a trois pour comprendre que j'avais besoin de changer de carte sim et la seule réponse à laquelle j'ai eu le droit était ""le manager il va dire non hein, retourner sur le chat et bon courage"". intellectuellement très limités incapable de faire face à une situation qui sort de ce qu'ils ont l'habitude de traiter. un scandale, et je reste polie."
682,problème technique,aucune aide sur place il faut appeler 390p
1380,problème technique,trop de monde et on ne trouve pas solution à mon problème.
2497,problème technique,"alors que cela faisait plus d’un mois que je communiquais avec le service client en chat, qui m’avait d’ailleurs dit deux fois m’envoyer une télécommande (que je n’ai jamais reçue...), qui m’avait dit qu’en boutique personne ne pouvait m’aider, je suis allée désespérée dans cette boutique et mon problème a été résolu en moins de 5 minutes top chrono! merci aux équipes en boutique qui ont été top ! quant aux équipes sav chat....vous m’avez fait perdre mon temps!"
109,problème technique,"cela fait plus de 20 ans que je suis chez orange et je ne m'en plains pas mais je n'ai jamais été aussi mal reçu qu'aujourd'hui à la boutique des champs elysées (c'était la dernière fois). pauvres touristes à qui vous donnez une image désastreuse des français. on m'enregistre à l'entrée et me demande d'aller au comptoir express après avoir enregistré mon nom. arrivée au comptoir on me fait me déplacer 3 fois pour aller d'une personne à une autre et on me demande d'expliquer 2 fois ce pour quoi je viens, alors qu'il ne s'agit que d'un remplacement de décodeur en bonne et due forme. rien de plus simple mais 3 personnes doivent s'en charger... où que vous soyez positionné, vous comprenez rapidement que vous dérangez. la première personne (mal aimable) qui m'a fait attendre (pour rien) se permet au bout de 30 secondes de me parler de ""bon sens"" alors que je m'efforce toujours d'être cordial avec un(e) inconnu(e). qu'il est loin le temps où le client était considéré roi ! en ressortant de cette boutique, on se demande bien qu'elle notion de relationnel client, cette personne a bien pu apprendre chez orange. je ne suis semble-t-il pas un cas isolé, la cliente devant moi a subi exactement la même chose que moi, et le client suivant a également vécu un mauvais moment. madame, merci de laisser votre place à un chômeur aimable, vous nuisez à la réputation d'orange. j'ose espérer que vous n'êtes pas le manager, mais je le crains vu la manière dont vous vous adressez à vos collègues. je vous souhaite de trouver un emploi qui vous plaira ; ce qui n'est manifestement pas le cas. lorsqu'un client vient échanger un matériel défectueux, je vous invite également à terminer par une formulation telle que ""orange s'excuse pour ce désagrément"", cela serait bienvenu. aucun ordre logique dans l'ordre prise en charge des personnes malgré le pré-enregistrement à l'entrée. enfin, hormis l'hôtesse d'accueil, aucun sourire n'a pu voir le jour dans cette boutique. je vous salue."
1408,problème technique,"edit du 18/01/2019 en plus d'avoir ouvert mon compte orange bank avec des infos fausses, je n'ai pas reçu le bonus client orange de 40 euros car l'employé ob de cette boutique st-antoine n'a pas été capable de scanner correctement la facture livebox qu'il avait imprimée. orange bank m'informe que la facture fournie est illisible.  pas sérieux   suite à un appel auprès du service technique et organisation d'un échange de décodeur défectueux, je viens dans cette agence qui m'a été communiquée par le service technique justement parce qu'elle avait le matériel en stock alors qu'il n'était pas dispo à l'agence près de chez moi (nation). la personne qui prend en charge mon dossier me dit que le décodeur n'est pas dispo et me dirige vers l'agence opéra. je lui fais part de mon étonnement et insiste.  il me propose alors d'appeler le service client pour demander l'échange contre la nouvelle version moyennant 10€. je ne comprends toujours pas qu'il ne puisse pas prendre la décision.  miracle, un décodeur est finalement dispo  car ""un client n'est pas venu chercher sa commande"".  puis il me démarche avec insistance pour l'ouverture d'un compte orange bank.  son collègue porteur d'un badge orange bank prend le relais et procède à l'ouverture du compte.  a la réception de mon contrat, je m'aperçois que les infos de mon profil sont fausses, il a sélectionné la 1ère valeur proposée pour chaque champ.  je repasse le voir et il m'indique que ces données n'ont aucune importance !!!"
579,problème technique,"télécommande en panne. retour au magasin. prise en charge rapide. nouvelle télécommande, en 10 minutes c'était réglé ! top"
1610,problème technique,"personnel peu enclin a vous aider. ils ont commence le transfert de mes donnees d'un telephone sur l'autre et non pas fini, ai ete oblige de refaire une installation complete."
664,problème technique,"ne servent a rien. le support telephonique m'envoit en agence, je profite d'un conges pour m'y rendre. ils me renvoit vers support telephonique. sim hs depuis plusieurs mois, personne ne veut regarder, ... par contre, les factures, ils savent me trouver ..."
2256,problème technique,"(traduit par google) vente trompeuse! j'ai acheté une carte sim prépayée à utiliser pendant mes vacances en europe. j'ai demandé au préposé combien de temps durerait le crédit et il m'a répondu qu'il durerait six mois. après avoir quitté le magasin, j'ai reçu un message m'informant que je devrais l'utiliser jusqu'au 22/04 (dans deux semaines). quand je suis revenu pour clarifier, je n’étais pas bien traité et il semble que personne ne s’inquiète de mes questions et de mon problème. (original) misleading selling! i bought a prepaid sim card to use during my vacation time in europe. i asked the attendant how long the credit would last and he answered it would last six months. after leaving the store i got a message saying that i should use it until 22/04 (two weeks from now). when i came back to clarify, i wasn’t well treated and seems that no one was worried about my questions and problem."
253,problème technique,"je pensais régler un problème très simple en allant chez orange cet après-midi pour un changement de carte sim.  on sent déjà qu’on les dérange... passons.  après m’avoir vendu une nouvelle carte sim, j’ai du retourner à la boutique... je me suis rendu compte que je n’avais pas mes contacts dans la nouvelle sim. aucun vendeur ne m’avait proposé ni même précisé qu’il fallait faire un transfert de contacts d’une sim à l’autre. finalement, ils m’ont rétorqué de mauvaise foi qu’ils n’étaient pas obligés de me préciser ce point. et que de toute facon, il n’y avait pas service technique le dimanche. je me retrouve donc avec un telephone sans contact, l’ancienne puce étant désactivée.... je ne sais pas si c’est l’incompétence ou la mauvaise foi qui me sidère le plus.... en tout cas, un vrai manque de professionnalisme! je ne reviendrai plus !"
2342,problème technique,prise en charge rapide et bons conseils
2577,problème technique,"aucun sav contrairement à ce est ecrit sur leur entrée de boutique  et ce que les autres agences orange nous disent   ils vous refoulent sans ménagement vers opera ou république qui eux nous disent que c'est un abus de leur part. vendre oui, mais sav allez vous faire f...., bravo de ceux qui, comme moi, sont handicapés;  conseil: internet est moins cher que ce marchand de soupe et pour exactement les mêmes mes services, c'est a dire zero ."
1926,problème technique,aucune solution trouvée à mon problème alors que par la faute d’orange nous sommes en panne depuis presque 15 jours : aucune cohésion entre les différents services et qui trinque ? le client ! alors pour 72 euros par mois j’espérais au moins avoir un service client digne de ce nom ... mieux vaut aller chez red pour 20 euros c’est la même prestation 😬
679,problème technique,"a première vue très bonne prise en charge du client, bonnes explications, etc... ce n'est qu'un an et demi après avoir souscrit une assurance mobile dans cette boutique que je me suis aperçue que le vendeur avait rempli mon contrat avec de nombreux éléments manquants ce qui m'a donc empêché de bénéficier de cette assurance que j'ai pourtant payé pendant tout ce temps. en effet, celui-ci à bien mis mon nom dans la partie de l'adhérent mais n'a même pas pris la peine de l'écrire entièrement dans la partie du bénéficiaire (il a seulement mit la première lettre). ainsi, chaque mois un montant était débité sur mon compte pour une prestation dont je n'aurai jamais pu bénéficier. un conseil : lisez bien chaque ligne des contrats que vous souscrivez dans cette boutique (quite à ce que cela leur fasse perdre 15minutes). ces vendeurs doivent prendre en charge le plus de clients possible et c'est pour cela qu'ils bâclent leur travail."
707,problème technique,c'est la troisième fois que je pénètre dans cette boutique. je me demande pourquoi je viens encore. toujours aussi déplaisants et incompétents. boutique à fuir et encore je suis gentil.
1848,problème technique,"boutique à éviter !!! personnel incompétent et surtout mal aimable je tiens à m'excuser d'avoir dérangé le personnel pendant leur sieste sur leur lieu de travail un service comme orange ce dois un minimum de courtoisie. surtout si vous devez demander un téléphone de prêt suite à une demande de réparation n'allez surtout pas chez eux, ils oublient de préciser que vous l'avez bien rendu, mais ils n'oublient pas de vous prélever 270 euros ( pour téléphone non rendu !!)"
2112,problème technique,"suite au changement d'un tel, je n'avais plus accès à ma boîte mail et je voulais transféré mes contacts  et mes photos. au bout de 1h30 rien a été fait, en plus il a supprimé mes contacts( technicien nul)."
799,problème technique,ma demande (un changement de box consécutif à un changement d'offre fibre) a été traitée assez rapidement et avec amabilité. l'accueil pourrait gagner en clarté en indiquant sur place : - les services réalisables exclusivement par internet ou téléphone - l'emplacement du point d'accueil et son fonctionnement.
2461,problème technique,accueil peu commercial...mais grande gentillesse du technicien breton qui a rétabli la connexion internet en changeant le  mot de passe à près piratage.  hélas deux jours d  e mails perdus sans retour.prejudice professionnel sérieux.
1216,problème technique,"a éviter à tout prix ! alors que nous avions rendez vous pour échanger un décodeur tv (après contact avec la hotline orange qui avait prévenu la boutique), on nous a tout simplement dit qu'ils n'en avaient pas de nouveau à nous donner, sans avoir plus d'explication, on nous a parlé de manière vulgaire et agressive avant de complètement nous ignorer !! je n'ai jamais vu un tel manque de respect de la part du personnel, tout le monde dans la boutique était choqué. nous avons donc été obligés de trouver une autre solution par nos propres moyens. conclusion : aucune aide, incompétence et irrespect total. bon courage si vous allez dans cette boutique !"
781,problème technique,"c'est presque réconfortant de lire ces avis (très) négatifs...on se sent moins seul. j'habite l'arrondissement et le réflexe ""naturel"" était donc d'aller dans cette boutique. je promets que c'est fini...trois expériences lamentables en quelques mois. la moins lamentable était celle où le vendeur était simplement incapable de répondre à ma demande, mais gentiment...pour le reste l'on se demande ce qui autorise nos interlocuteurs de cette boutique à faire preuve de tant de mépris allié à tant d'incompétence. a fuir, absolument, et définitivement"
1309,problème technique,"passé a l'instant pour un changement de modèle de la box tv, je suis tombé sur le manager qui était très sympathique et efficace."
1960,problème technique,"donne encore plus de problèmes au client. j'y suis allée car on m'a envoyée une nouvelle box, mais cette fois, pas de bon de retour pour rendre l'ancienne. de mauvaise grâce, je vais dans la boutique orange la rendre en mains propres.  l'accueil était bien, je rajoute aussi que j'ai une autre demande à faire. l'imprimante ne marche pas, la vendeuse ne peut pas me donner mon justificatif comme quoi ma box a été bien rendue, je lui demande tout de même si ça sera pris en compte,  oui pas d'inquiétude, c'est scanné, etc. sur ce elle me plante là alors que j'étais encore assise et va voir d'autres clients, sans rien me dire, et mes autres questions, je peux me les garder... je pars en lançant tout de même un au revoir... je reçois un courrier 1 mois plus tard qui dit que je n'ai pas rendu 2 box (au lieu d'une) et que je dois payer tant... et je n'ai pas le justificatif. merci orange de nous compliquer la vie. c'est une honte."
624,problème technique,super conseil très pro
1106,problème technique,"une catastrophe! ne laissez pas votre mobile entre leurs mains, mon galaxy m'a été rendu avec un coup de cutter sur la touche principale! "
1853,problème technique,"""conseiller"" qui donne pas des conseils, peu aimable. on se demande a quoi sa sert l'agence quand il faut toujours appeler le service client pour être informé "
1936,problème technique,"ce samedi matin,je suis passée retirer ma box car je suis assistante éducation palaiseau et ne peut être disponible en semaine. mais hélas, le black à la caisse m'a jeté dehors mon tort: avoir demandé de voir ds mon dossier s'il peut me confirmer le passage du technicien. il a refusé de consulter mon dossier et est rentré ds une noire colère et j'ai quitté la boutique."
427,problème technique,"cliente comme mon mari depuis des années chez orange. je suis très déçue de mon dernier passage. je suis allée changer mon smartphone qui avait 2 problèmes. la batterie qui n'en pouvait plus, celui que l'on m'a remplacé est guère mieux. le chargeur aussi a été changé mais on me l'a fait payer presque 15€ alors qu'il fesait parti du pack d'achat. les photos de mes contacts sont toutes floutees. je suis très déçue. je dois le changer au mois d'octobre, j'y réfléchirais. quand à l'accueil dure, dure. désolée."
542,problème technique,"je tiens à préciser que cet appareil a été acheté à la boutique orange belle epine. si on s'en tient au raisonnement du vendeur de la boutique d'alésia, c'est comme si j'achetais une peugeot à lyon et que je ne peux pas la faire réparer à paris...cherchez l'erreur..."
488,problème technique,bonjour bon accueil sav décodeur pour ce qui me concerne appareil remis immédiatement contre sms cordialement
