,0,1,2
32,110,emotion,"fuyez cet endroit! un peu défraîchi d'un voyage de 26h, les hôtesses me barrent la route pour l'accès au magasin. j'explique ma situation et ma demande. le magasin était vide, malgré cela j'ai attendu 10-15min, j'ai fini para abandoner et aller chez la concurrence. on vous juge dès l'entrée du magasin et on vous ferme les portes d'office. je pensais qu'au 21eme siècle, c'était fini, apparemment non."
33,530,nan,"parasti daudz apmeklētāju,nākas ilgi gaidīt."
34,2038,acceuil / politesse,"attendre un peu longue mais normale en cette période, très bon accueil au global"
35,1282,acceuil / politesse,accueil exécrable comme dans toutes les boutiques orange ! a vincennes c est pire !!
36,2044,cadre / atmosphere,boutique sympathique
37,1844,emotion,boutique fermée... aucune indication sur le site ou sur la boutique pour expliquer cela.
38,682,probleme technique,aucune aide sur place il faut appeler 390p
39,393,acceuil / politesse,personnel mal élevé et raciste envers les asiatiques. ils pensent que les asiatiques sont incapables de comprendre les insultes qu'ils disent en français. erreur !
40,1783,temps d'attente,attente interminable et personnel peu agréable. le vendeur était limite en train de me crier dessus !
41,1380,probleme technique,trop de monde et on ne trouve pas solution à mon problème.
42,1819,emotion,"prennent la liberté de fermer pendant l'heure du déjeuner , ce que ne précise pas le site orange qui annonce l'ouverture sans interruption. pas sérieux ..... qui controle cela ?"
43,2183,acceuil / politesse,très satisfait de l'accueil 🤗
44,2596,cadre / atmosphere,"super magasin de téléphonie. attention aux montages des vitres blindés, ils refusent de les placer."
45,529,acceuil / politesse,c'est à côté de moi et les employés sont très gentils. 👍🙋😁
46,503,acceuil / politesse,"très mauvais accueil ! grâce à cette boutique, pour moi, orange c est fini"
47,1884,emotion,sympa
48,1593,emotion,(traduit par google) bien  (original) good
49,1954,temps d'attente,"45 mn d’attente pour une box à échanger ce qui a pris moins de 5 mn au final .. il y a un tri fait dès l’arrivée mais qui ne sert à rien car si vous êtes là pour acheter, vous passez en priorité !"
50,1830,temps d'attente,"scandaleux, 4 vendeurs pas un bonjour. 30mn que j'attend alors qu'un des vendeurs parle de la coupe du monde de foot, l'autre parle de sa belle mère avec 2 clientes depuis 15mn.  la dernière fois que j'étais venu ils refusaient l'entrée 30mn avant l'horaire de fermeture.  une affiche indique : ""toute agression physique ou verbale fera l'objet de poursuite...""  l'impression d'être dans un centre des impôts en quartier sensible.  ps: 45 mon plus tard enfin à moi mais les 2 vendeurs ont disparu... sans doute en pause ..."
51,1638,acceuil / politesse,"profondément déçue de l’accueil réservé à la clientèle... pas un bonjour, pas un sourire, on nous envoie directement à un conseillé que ça n’intéresse visiblement pas de gérer les clients.  clairement ont le dérange... il nous parle comme si nous étions débiles, et à toutes nos questions, deux réponses: allez voir sur internet, ou allez voir sur votre télévision... attitude que je juge vraiment inacceptable et presque agressive. pas une seule fois il n'a essayé de nous aider, sous prétexte que de toute façon les boutiques vont fermer et que les clients ne passerons que par internet ou téléphone pour résoudre leurs problèmes.... bref après cette expérience non seulement je ne reviendrais plus, mais nous allons changer d'opérateur, c'est dommage car à la base ce n'était nullement notre intention."
52,2321,emotion,que du bonheur
53,746,acceuil / politesse,accueil et efficacité.
54,1515,emotion,convivialité
55,515,cadre / atmosphere,espace exigu
56,1378,temps d'attente,mauvaise organisation. j'ai attendu pour finalement ne pas être servi...
57,2328,relation commercial,service de qualité et interlocuteurs compétant.
58,242,emotion,"très mauvaise expérience. il semble donc que la grande et belle boutique orange des champs élysées, vitrine de la marque, ne vende aucune autre recharge que le fameux ""pack holiday"", une offre scandaleusement plus chère que toutes les autres, destinées à de pauvres touristes n'ayant aucune idée que depuis free, il n'est pas normal de payer un forfait 40 euros. si l'on veut acheter autre chose, on nous redirige vers un bureau de tabac. comment alors enregistrer la carte sim ? il faudra envoyer un coupon par la poste, avec photocopie du passeport etc, bref tout est fait pour vous inciter à acheter ce pack à 40 euros, seule solution pour vous éviter de perdre une matinée de vos vacances à chercher un tabac, une photocopieuse et une poste. et bien sûr, si vous souhaitez faire remonter votre mécontentement, vous êtes rédirigé vers le site internet, ou bien le 3900, plate-forme sur laquelle l'on vous dira que votre appel ne peut aboutir car la ligne est trop encombrée."
59,1981,relation commercial,boutique très visible dans l'avenue avec une equipe de conseillers très compétents. bravo !
60,1873,cadre / atmosphere,ce magasin est bien agencé beaucoup de choix le conseiller a très bien répondu à ma question  a été très gentil et professionnel
61,162,acceuil / politesse,personnel accueillant et courtois
62,2134,temps d'attente,"pour des renseignements sur l'abonnement et l'utilisation de la tablette et du mobile. trop de clients pas assez de personnel. chez certains ""fai"" c'est pire vous n'avez même pas où vous asseoir."
63,500,relation commercial,"excellente responsable à l'écoute, efficace et compétente.qui plus est,entouré de collaborateurs efficaces.on aimerait pouvoir en dire autant  des conseillers eu téléphone dont les qualités ne sont guère mis au service du client.(écoute nulle-incompétence-incapables de répondre aux question soulevées.semblent réciter un bréviaire!)"
64,233,temps d'attente,"la jeune femme était très professionnelle, compétente et agréable.  par contre 30' d'attente, que 2 techniciens en plein vendredi apm.  cordialement"
65,707,probleme technique,c'est la troisième fois que je pénètre dans cette boutique. je me demande pourquoi je viens encore. toujours aussi déplaisants et incompétents. boutique à fuir et encore je suis gentil.
66,619,emotion,c'est possible de mettre 0?
67,1915,emotion,lieu sympathique vendeur compétent produits de qualités
68,2360,relation commercial,"très beau magasin, vendeurs au top! n’hésitez pas a y passer, vous pourrez y voir de nouvelles technologies!"
69,323,acceuil / politesse,"excellent service. équipe sympathique, accueillante et efficace."
70,2491,emotion / ressenti,correct c'est diplomatique
71,2147,acceuil / politesse,"très bon accueil, gestion de l'attente via sms ce qui est très pratique. bons conseils et des vendeurs qui prennent leur temps de vous conseiller."
72,2640,emotion,"(traduit par google) les employés soit sont malhonnêtes, incompétents, ou tout simplement qu'ils pensent que leur anglais est beaucoup mieux qu'elle ne l'est en réalité. nous sommes allés à deux cartes sim prépayées avec 2 go de données et ils nous ont vendu deux avec seulement 600 mo. lorsque nous avons découvert leur erreur, au début, ils ont dit que nous ne pouvions tout simplement recharger pour € 10 à 2 go, mais quand est allé en faire un manager nous a dit que nous devions acheter un tout nouveau plan pour 30 € chacun. maintenant, nous avons pas de données pour les 3/4 de notre temps à paris. soyez prudent de vérifier ce qu'ils vous vendent, même si vous êtes couramment le français.  (original) employees either are dishonest, incompetent, or just they think their english is much better than it actually is. we went in for two prepaid sim cards with 2gb of data and they sold us two with only 600 mb. when we discovered their error, at first they said we could just top up for €10 to 2gb, but when went in to do so a manager told us we had to buy a totally new plan for €30 each. now we have no data for 3/4 of our time in paris. be careful to check what they are selling you, even if you're fluent in french. "
73,1960,probleme technique,"donne encore plus de problèmes au client. j'y suis allée car on m'a envoyée une nouvelle box, mais cette fois, pas de bon de retour pour rendre l'ancienne. de mauvaise grâce, je vais dans la boutique orange la rendre en mains propres.  l'accueil était bien, je rajoute aussi que j'ai une autre demande à faire. l'imprimante ne marche pas, la vendeuse ne peut pas me donner mon justificatif comme quoi ma box a été bien rendue, je lui demande tout de même si ça sera pris en compte,  oui pas d'inquiétude, c'est scanné, etc. sur ce elle me plante là alors que j'étais encore assise et va voir d'autres clients, sans rien me dire, et mes autres questions, je peux me les garder... je pars en lançant tout de même un au revoir... je reçois un courrier 1 mois plus tard qui dit que je n'ai pas rendu 2 box (au lieu d'une) et que je dois payer tant... et je n'ai pas le justificatif. merci orange de nous compliquer la vie. c'est une honte."
74,1366,nan,ras
75,314,relation commercial,"très sympa un magasin orange de qualité, moderne propre et le personnel agréable et souriant ! je conseille."
76,1223,acceuil / politesse,"ce serait bien de noter sur le site les fermetures même exceptionnelles! après vaugirard avec un accueil pitoyable, je me présente rue du commerce ! fermeture! et bien je continue..."
77,1263,motion,"mauvaise expérience,  un vendeur malhonnête et idiot, aucun respect ."
78,1699,emotion ,"un personnel scandaleux, désagréable et agressif ! vous venez de perdre un client, et au vu des clients précédent qui sont partis énervés vous n'en avez pas perdu qu'un."
79,81,temps d'attente,"arrivé à l’ouverture à 10:00, 3 personnes devant moi, il est 11h et j’attends toujours !!"
80,2407,probleme technique,acheter c'est facile...avoir une assistance technique est quasiment impossible.
81,346,emotion,(traduit par google) bien  (original) good
82,1596,emotion ,"service client inexistant.  si vous voulez être expédié en 2 minutes sans aucun conseil : n'hésitez pas, allez dans cette agence.  lamentable"
83,292,acceuil / politesse,bravo au personnel d'orange très bien accueillie  je suis très content très bien organisé
84,2072,acceuil / politesse,(traduit par google) juge bon personnel est vraiment gentil  (original) 심사기 좋아요 스태프들이 진짜 친절함
85,46,acceuil / politesse,franchement  l'accueill rien a dire le service très bien
86,2435,acceuil / politesse,très très  bien reçu personnel très compétant merci
87,1018,acceuil / politesse,accueil inexistant  personnel non aimable. surtout à éviter!
88,723,emotion,très bien
89,128,acceuil / politesse,"accueil lamentable, quand j’entre dans la boutique, on me dit « oui ??? », du genre c’est pourquoi ??? sans un sourire de bienvenue ou même un basique « bonjour madame ». la personne qui s’est occupée de recharger ma carte téléphonique, une dame ayant la cinquantaine avancée, particulièrement peu aimable, semblait agacée de mes questions (c’est la première fois que j’utilise une carte rechargeable) et sourcillait à chaque réponse qu’elle faisait l’effort de me donner. limite si elle ne roulait pas des yeux tellement j’avais l’air d’être une débile profonde à ses yeux, tout en se comportant comme la diva de son petit territoire. quand je lui ai dit que je voulais la recharge la moins chère, elle a même étouffé un rire, j’ai cru rêver. franchement, choisissez mieux votre personnel, surtout pour une boutique sur les champs élysées, qui devrait représenter la marque avec une attitude plus amicale que prétentieuse. expérience désagréable en tout point."
90,2636,nan,cv pas mal
91,94,cadre / atmosphere,service rapide et agréable dans un superbe environnement
92,406,nan,(traduit par google) est intéressant  (original) интересно
93,886,emotion,"dixit les vendeurs, ce n'est pas une vrai boutique orange. elle ne fait donc pas d'assistance !  très décevant ! "
94,2600,cadre / atmosphere ,"wifi à bord, du coup c'est cool"
95,1163,relation commercial,très bien. boutique un peu petite mais  personnel sympathique et à l'écoute.
96,1244,relation commercial,personnels à l écoute et très sympathique
97,337,emotion,"je me suis rendue la bas pour changer de mobile, je suis tombée sur un vendeur incompétent ce qui m'a couté de rester toutes l'apres midi chez eux car il  a fait des bourdes l'une après l'autre sans se stresser en plus. il a fait tomber un iphone x sans se prendre la tete et en le remettant dans la boite normal. je passe les détails de cet apres midi foireuse. s'abstenir d'aller la bas vraiment !!!!!!!!"
98,542,probleme technique,"je tiens à préciser que cet appareil a été acheté à la boutique orange belle epine. si on s'en tient au raisonnement du vendeur de la boutique d'alésia, c'est comme si j'achetais une peugeot à lyon et que je ne peux pas la faire réparer à paris...cherchez l'erreur..."
99,971,emotion,l'exemple parfait de la prétention et de la médiocrité
100,1289,relation-commerciale,"accueil trã¨s agrã©able et c'est la seule chose que je retiendrais. prise en charge, aprã¨s un certain temps d'attente, par un vendeur au service client plus que dã©testable, pas d'ã©coute des demandes, des explications plus que mã©diocres sur les diffã©rents tã©lã©phones proposã©s et quand on demande de voir le tã©lã©phone, enfin choisi, je trouve assez dommage que la rã©ponse donnã©e soit ""il est au fond prã©sentã© "" sans que le vendeur daigne se dã©placer... je voulais pourtant changer de tã©lã©phone. je suis reparti sans...  je ne remettrai plus les pieds dans cette boutique."
101,807,relation-commerciale,"d'une incompã©tence incroyable et d'un amabilitã© dã©plorable. c'est la troisiã¨me fois que je m'y rend en tant que pro, et c'est la troisiã¨me fois qu'ils n'ont  pas ce qu'il faut: carte sim, box orange... et ils ne peuvent soit disant aps appeler un autre boutique orange pour vã©rifier que le matã©riel soit en stock lã  bas..."
102,687,problème-technique,no pueden solucionar ningãºn problema con sim cards que pertenecen a ellos. malã­sima la atenciã³n!
103,976,accueil-politesse,excellent accueil mais surtout grande disponibilitã© des vendeurs et grandes compã©tences dans le domaine technique. boutique dont le fonctionnement est hors du commun.
104,636,temps-attente,"service deplorable. je me rends en boutique pour ã©changer une box dã©fectueuse. j'ai commandã© la box de remplacement en ligne et reã§u une notification comme quoi elle ã©tait arrivã©e.  j'ai attendu 30 minutes en boutique pour qu'un personnel malpoli m'explique que mon colis n'est pas arrivã©. selon lui, si j'ai reã§u un sms comme quoi le colis est arrivã© aujourd'hui, c'est qu'il arrivera demain. sa logique me dã©passe."
105,2029,accueil-politesse,bon vendeurs ã  l'ã©coute et sympathique.
106,1512,temps-attente,personnel super compã©tent trã¨s peu dâattente jâai rien ã  dire autre chose que allez y les yeux fermã©s
107,2219,accueil-politesse,orange opã©ra beaucoup mieux que orange champ ãlysã©e j'avais l'impression de parler ã  un mã»r je parlais tout seul !!!
108,663,accueil-politesse,le personnel est vraiment trãs dã©sagrã©able ! câest la pire boutique orange. ils font pas leur travail ils ont que le mot non dans leur bouche ã  croire quâil nous rendent service !
109,1842,relation-commerciale,"suite ã  l'achat d'un film verre (cache) xperia, je vais ã  la boutique pour la 3ã¨me fois,  vers les 18h ce mercerdi ,afin de rencontrer le responsable qui est en entretien tã©l,  l'un des vendeurs me dit de revenir ds 1/4 , aprã¨s je le croise dans le magasin il faisait l'inventaire, c'est tout juste si moi j'allais pas prendre aussi ma douche !!! il me bloque cache en me disant je ne rembourse rien, je n'avais mãªme ouvert la bouche..il prend mãªme pas la peine d'ã©couter, aucun respect alors que je me suis adressã©e au sav de xpã©ria, qui m'ont recommandã© d'aller en boutique...tout le monde se renvoie la balle, mais pour un responsable il est utile de savoir ã©couter ou communiquer, maintenant que j'ai croisã© le responsable je comprends la bonne humeur de ce magasin...c'est un pti monsieur quelconque d'une 50ã¨ d'annã©es voir plus, dã©garni et aucuns sourires..il faisait l'inventaire trop prã©occupã© par ses responsabilitã©s...je comprends pourquoi j'ai pas envie de rester chez orange"
110,427,problème-technique,"cliente comme mon mari depuis des annã©es chez orange. je suis trã¨s dã©ã§ue de mon dernier passage. je suis allã©e changer mon smartphone qui avait 2 problã¨mes. la batterie qui n'en pouvait plus, celui que l'on m'a remplacã© est guã¨re mieux. le chargeur aussi a ã©tã© changã© mais on me l'a fait payer presque 15â¬ alors qu'il fesait parti du pack d'achat. les photos de mes contacts sont toutes floutees. je suis trã¨s dã©ã§ue. je dois le changer au mois d'octobre, j'y rã©flã©chirais. quand ã  l'accueil dure, dure. dã©solã©e."
111,486,accueil-politesse,"personnel ã  l'accueil faisant rã©ellement office d'accueil et de bienvenu... un vrai plaisir d'ãªtre accueilli de la sorte avec courtoisie et sourire. pas eu besoin de passer par la case conseiller donc impossible ã  juger, mais en tout cas il y avait de nombreux conseiller en train de renseigner des clients. ãa change des boutiques oã¹ les ã®lots de conseils sont dã©sespã©rã©ment vides..."
112,1340,relation-commerciale,vendeur trã¨s compã©tent et efficace
113,1148,accueil-politesse,trã¨s bien personnels trã¨s aimable
114,448,accueil-politesse,suoer sympa les vendeurs !
115,592,temps-attente,beaucoup d'attente (environ 30 minutes) du fait que les vendeurs soient obligã©s de dã©passer leur rã´le et de jouer les pã©dagogues avec des clients pas trã¨s douã©s... ils sont vraiment patients... accueil aimable et professionnel.
116,872,accueil-politesse,ãquipe sympa et compã©tente...
117,1796,cadre-atmosphère,souvent vide on a l impression de rentrer dans un autre monde froid et inquiã©tant
118,2142,relation-commerciale,"aprã¨s 1,5 mois d'erreurs de mise en place, et de mauvais matã©riel envoyã©, on arrive enfin ã  avoir la livebox fonctionnant chez nous. on rend notre matã©riel en agence, et on reã§oit ensuite des courriers de mise en demeure de matã©riel non envoyã© car ã©videmment l'agence ne communique pas avec les autres services. je retourne ã  l'agence aujourd'hui, et l'agent accueil me reã§oit de maniã¨re dã©plorable : c'est ma faute si j'ai rendu le matã©riel en agence et pas par chronopost. oã¹est le client ? pourtant rien ne vous avait ã©tã© dit la fois prã©cã©dente. bref heureusement un responsable est ã  la rescousse, et a dã©brouillã© l'affaire en prenant du temps, et en faisant son travail. merci ã  lui ! mais quel parcours du combattant pour le client pour juste avoir une livebox."
119,551,accueil-politesse,"je suis rentrã© puis je suis sortie : aucun vendeur ã  ma rencontre ""j'ai poirotã© 15 minutes"""
120,1198,accueil-politesse,(traduit par google) trã¨s bon service  (original) muy buen servicio
121,25,temps-attente,"bel endroit, mais une attente infinie pire qu'une administration."
122,1482,emotion-ressenti,bien
123,1111,emotion-ressenti,"accueil un peu poussif et amateurs,  mais gentillesse et politesse"
124,2507,accueil-politesse,"accueil efficace et souriant, pas d'attente, du choix et des rayons remplis, le seul bã©mol c'est les prix."
125,1801,emotion-ressenti,excellent  service.
126,1924,relation-commerciale,top opã©rateur de grade qualitã©
127,2562,changement-opérateur,"client depuis de nombreuses annã©es d'orange (auparavant ptt, itinã©ris, france tã©lã©com, etc...), titulaire un contrat complet ã  ma rã©sidence principale de paris et souhaitant changer de fournisseur internet pour ma rã©sidence secondaire, je me suis rendu - en prenant rendez-vous - ã  la boutique orange de la rue de rennes ã  paris pour obtenir des informations et instructions complã©mentaires. je fut reã§u ã  l'heure prã©vue par un conseiller incapable de rã©pondre ã  toutes mes questions, me regardant avec les yeux mi-clos, visiblement peu intã©ressã© par ma visite. je lui ai posã© une question concernant un problã¨me rã©current que j'ai avec un tã©lã©phone samsung, que j'ai achetã© neuf chez orange. il n'a pu me rã©pondre qu'il me fallait tã©lã©phoner au 3900, sans plus d'explications. j'ai ã©tã© profondã©ment dã©ã§u par le manque de professionnalisme de ce conseiller. j'en ai connu de meilleurs chez orange !"
128,1128,accueil-politesse,"pire boutique orange, personnel incompã©tent et responsable de lâagence qui ne connaã®t pas le mot âservice clientâ ! les autres boutiques orange sont vraiment ã  la hauteur, alors que celle-ci... client depuis 2005, je nâai jamais vã©cu un pire service avec orange que dans cette boutique ! honteux"
129,1670,cadre-atmosphère,"une boutique classique avec tout la tã©lã©phonie mobile,  ã  5mn de la gare."
130,2004,emotion-ressenti,(traduit par google) haut  (original) top
131,1106,problème-technique,"une catastrophe! ne laissez pas votre mobile entre leurs mains, mon galaxy m'a ã©tã© rendu avec un coup de cutter sur la touche principale! "
132,611,accueil-politesse,trã¨s bon accueil
133,1011,relation-commerciale,"le manager est un ã©norme enfant de pã©ripatã©ticienne. et je pã¨se mes mots. vous avez le moindre problã¨me avec votre contrat orange/sosh ? c'est donc votre problã¨me et non le sien. bravo, quel humanisme, quel respect de ses semblables."
134,1605,accueil-politesse,"accueil dã©testable. quand mon tour arrive, le conseiller mâ´ignore un moment avant de venir vers moi sans bonjour ni politesse. je lui explique rapidement ma situation (assez urgente, je pars ã  lâ´ã©tranger et le service client me dit de poser mon matã©riel en boutique), il me dit quâ´il ne peut rien faire, nâ´ã©coute meme pas mon cas et bascule carrã©ment dans lâ´impolitesse en me disant que jâ´aurais du me renseigner mieux avant de venir et que je nâ´ai rien compris a ce quâ´on mâ´a dit. ce comportement mã©prisant dâ´ailleurs en partie du au fait que je suis une jf de 25 ans.  tout simplement dã©sagrã©able et humiliant. franchement une honte. jâ´ai appelã© le service client pour le signaler, et ai pu poser mon matã©riel sans aucun problã¨me au store de rã©publique.  bref je ne parle que pour cet agent, mais son contact client est plus que limite et zã©ro sens du service."
135,749,accueil-politesse,"dã©plorable! le personnel est ã   la hauteur de sa rã©putation! hautain, dã©sagrã©able et agressif. boutique ã   ã©viter ã  tout prix. l' agent ã   l'accueil devrait changer de mã©tier !!!  n"
136,2408,relation-commerciale,"(traduit par google) horrible attentif aux dã©tails, seulement intã©ressã© ã  faire une vente. je ne pense pas qu'ils voulaient m'aider car je suis un client prã©payã© et mon numã©ro ne venait pas de france. ã la fin, j'ai ã©tã© vendu quelque chose qui ne pouvait pas travailler pour moi et a dã» le retourner seulement aprã¨s avoir cherchã© l'agent original. si vous ãªtes un client franã§ais, vous obtiendrez peut-ãªtre un meilleur service.  (original) horrible attentive to details , only interested in making a sale. i don't think they wanted to help me as i am a prepaid client and my number was not from france . in the end i was sold something that could not work for me and had to return it only after looking for the original agent. if your a french client perhaps you will get better service."
137,1375,accueil-politesse,"j'y suis allã©e hier, pour rien. vendeurs hautains et pas du tout ã  l'ã©coute, mon problã¨me n'a pas ã©tã© rã©solu. qu'on me conseille de me rediriger vers le service client en ligne alors que je me suis dã©placã©e en magasin, c'est juste incomprã©hensible."
138,2496,emotion-ressenti,solution rapide et efficace ! trã¨s pros !
139,1401,cadre-atmosphère,magasin propre accueillant
